category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
1,825269649,17039389,690859,1971012,4.0,3.0,1.0
2,102913586,730306,46397,123347,1.0,1.0,0.0
10,4828186880,150641535,5264500,12865083,2.0,5.0,0.0
15,104204643,2670772,67898,359305,1.0,0.0,0.0
17,639466822,12586093,797203,1490099,5.0,3.0,0.0
19,58778988,586846,39306,105656,0.0,0.0,0.0
20,239483937,6991366,624992,1386717,2.0,0.0,0.0
22,667660862,23000159,1377442,3052960,8.0,5.0,0.0
23,773873112,29957127,1067459,2986431,1.0,0.0,0.0
24,2828466347,67435226,6730460,9899089,31.0,5.0,2.0
25,231807005,3011179,769826,1078391,33.0,1.0,0.0
26,557056875,20646383,705227,2894411,1.0,1.0,0.0
27,152579019,5402061,189946,634097,3.0,2.0,0.0
28,428563438,10165574,547825,1391101,12.0,3.0,0.0
29,31064609,2388624,563262,740432,1.0,1.0,0.0
43,3049600,61741,1451,6085,0.0,0.0,0.0
